fileID,f1,f2,vot,notes
bi02_kaka,780.28,1573.00,22.92,
bi02_kaka1,795.06,1546.83,29.17,
bi02_kaka2,552.54,1505.21,25.93,
bi02_keke,468.34,2210.62,20.22,
bi02_keke1,463.93,2342.34,23.79,
bi02_keke2,538.47,2293.10,18.01,
bi02_kiki,335.46,2626.27,35.17,
bi02_kiki1,347.96,2695.86,17.32,
bi02_kiki2,338.09,2620.44,21.73,
bi02_koko,616.66,989.87,29.80,
bi02_koko1,597.84,968.12,29.39,
bi02_koko2,487.83,878.58,36.05,
bi02_kuku,471.75,904.82,30.38,
bi02_kuku1,467.61,917.04,35.00,
bi02_kuku2,308.01,763.54,23.67,
bi02_paka,806.85,1633.76,8.36,
bi02_paka1,727.28,1475.29,7.26,
bi02_paka2,677.65,1623.66,8.79,
bi02_peke,497.76,2254.45,21.54,
bi02_peke1,460.94,2355.05,3.97,
bi02_peke2,482.23,2359.68,13.17,
bi02_piki,353.09,1749.11,19.79,
bi02_piki1,286.32,2578.27,9.06,
bi02_piki2,573.10,2682.04,14.16,
bi02_poko,582.58,919.17,20.04,
bi02_poko1,573.69,942.78,9.95,
bi02_poko2,573.35,1059.00,5.15,
bi02_puku,506.82,899.01,22.30,
bi02_puku1,462.24,855.44,16.70,
bi02_puku2,427.38,812.14,17.01,
bi02_taka,814.78,1547.39,9.47,
bi02_taka1,728.87,1532.40,10.01,
bi02_taka2,530.40,1451.06,14.30,
bi02_teke,526.47,2209.84,10.34,
bi02_teke1,466.45,2332.78,12.95,
bi02_teke2,431.66,1008.43,11.46,
bi02_tiki,647.70,2414.47,14.58,
bi02_tiki1,346.20,2747.80,14.35,
bi02_tiki2,530.98,1852.66,16.51,
bi02_toko,454.20,890.96,10.80,
bi02_toko1,552.35,963.73,11.00,
bi02_toko2,606.80,1001.94,11.55,
bi02_tuku,472.87,963.41,12.79,
bi02_tuku1,466.37,932.52,9.42,
bi02_tuku2,514.80,846.52,11.78,
