fileID,f1,f2,vot,notes
ne01_kaka,871.58,1651.80,40.34,
ne01_kaka1,950.06,1770.38,42.27,
ne01_kaka2,1071.95,1763.02,32.94,
ne01_keke,1071.95,1763.02,32.94,
ne01_keke1,601.01,2478.95,30.15,
ne01_keke2,493.07,2632.81,30.14,
ne01_kiki,364.36,2845.37,39.22,
ne01_kiki1,964.71,2271.37,47.07,
ne01_kiki2,438.62,2787.95,40.80,
ne01_koko,666.42,1082.80,48.50,
ne01_koko1,577.51,1062.22,30.14,
ne01_koko2,643.94,1102.57,36.14,
ne01_kuku,489.20,1105.83,59.19,
ne01_kuku1,446.01,1014.84,60.68,
ne01_kuku2,1091.05,2138.79,56.22,
ne01_paka,758.91,1496.82,19.54,
ne01_paka1,797.79,1525.90,10.08,
ne01_paka2,847.01,1649.55,9.81,
ne01_peke,391.69,2671.64,9.96,
ne01_peke1,394.16,2682.74,20.87,
ne01_peke2,547.49,2518.37,9.39,
ne01_piki,402.03,2832.61,17.41,
ne01_piki1,418.78,2877.98,9.31,
ne01_piki2,372.15,2926.30,9.50,
ne01_poko,516.62,1082.71,25.39,
ne01_poko1,576.08,1155.74,23.70,
ne01_poko2,505.81,1053.01,13.69,
ne01_puku,420.35,1062.27,23.82,
ne01_puku1,449.72,1060.32,51.67,
ne01_puku2,438.74,1011.55,62.51,
ne01_taka,888.05,1698.16,15.03,
ne01_taka1,1209.58,1784.67,18.17,
ne01_taka2,929.81,1721.00,10.73,
ne01_teke,517.44,2463.30,16.93,
ne01_teke1,547.36,2471.34,17.62,
ne01_teke2,806.43,2501.46,12.39,
ne01_tiki,372.11,2879.42,22.43,
ne01_tiki1,383.02,2835.39,26.75,
ne01_tiki2,362.50,3005.72,30.13,
ne01_toko,590.67,994.78,35.16,
ne01_toko1,453.10,1075.44,26.78,
ne01_toko2,557.83,1063.90,15.92,
ne01_tuku,423.10,1063.46,43.04,
ne01_tuku1,414.23,1071.81,31.16,
ne01_tuku2,1050.97,1639.40,41.94,
